forecast_hour,ensemble,lat,lon,IVT,date
0.0,0,45.0,225.0,62.15817,2023-10-06 06:00:00
3.0,0,45.0,225.0,60.081547,2023-10-06 09:00:00
6.0,0,45.0,225.0,49.26453,2023-10-06 12:00:00
9.0,0,45.0,225.0,52.021343,2023-10-06 15:00:00
12.0,0,45.0,225.0,62.68188,2023-10-06 18:00:00
15.0,0,45.0,225.0,76.89526,2023-10-06 21:00:00
18.0,0,45.0,225.0,75.66846,2023-10-07 00:00:00
21.0,0,45.0,225.0,73.780075,2023-10-07 03:00:00
24.0,0,45.0,225.0,80.56829,2023-10-07 06:00:00
27.0,0,45.0,225.0,91.66355,2023-10-07 09:00:00
30.0,0,45.0,225.0,113.38486,2023-10-07 12:00:00
33.0,0,45.0,225.0,148.0585,2023-10-07 15:00:00
36.0,0,45.0,225.0,400.60965,2023-10-07 18:00:00
39.0,0,45.0,225.0,444.2597,2023-10-07 21:00:00
42.0,0,45.0,225.0,413.1553,2023-10-08 00:00:00
45.0,0,45.0,225.0,315.4077,2023-10-08 03:00:00
48.0,0,45.0,225.0,317.54807,2023-10-08 06:00:00
51.0,0,45.0,225.0,424.69562,2023-10-08 09:00:00
54.0,0,45.0,225.0,494.3813,2023-10-08 12:00:00
57.0,0,45.0,225.0,702.9622,2023-10-08 15:00:00
60.0,0,45.0,225.0,905.1723,2023-10-08 18:00:00
63.0,0,45.0,225.0,639.4078,2023-10-08 21:00:00
66.0,0,45.0,225.0,457.73148,2023-10-09 00:00:00
69.0,0,45.0,225.0,399.93613,2023-10-09 03:00:00
72.0,0,45.0,225.0,380.50677,2023-10-09 06:00:00
75.0,0,45.0,225.0,334.44006,2023-10-09 09:00:00
78.0,0,45.0,225.0,256.37735,2023-10-09 12:00:00
81.0,0,45.0,225.0,318.7993,2023-10-09 15:00:00
84.0,0,45.0,225.0,388.8228,2023-10-09 18:00:00
87.0,0,45.0,225.0,379.04074,2023-10-09 21:00:00
90.0,0,45.0,225.0,437.8197,2023-10-10 00:00:00
93.0,0,45.0,225.0,514.7465,2023-10-10 03:00:00
96.0,0,45.0,225.0,382.93173,2023-10-10 06:00:00
99.0,0,45.0,225.0,402.22513,2023-10-10 09:00:00
102.0,0,45.0,225.0,317.2424,2023-10-10 12:00:00
105.0,0,45.0,225.0,233.5842,2023-10-10 15:00:00
108.0,0,45.0,225.0,208.77989,2023-10-10 18:00:00
111.0,0,45.0,225.0,193.62088,2023-10-10 21:00:00
114.0,0,45.0,225.0,192.41791,2023-10-11 00:00:00
117.0,0,45.0,225.0,150.79259,2023-10-11 03:00:00
120.0,0,45.0,225.0,134.82573,2023-10-11 06:00:00
123.0,0,45.0,225.0,158.73547,2023-10-11 09:00:00
126.0,0,45.0,225.0,220.82346,2023-10-11 12:00:00
129.0,0,45.0,225.0,340.59073,2023-10-11 15:00:00
132.0,0,45.0,225.0,419.31503,2023-10-11 18:00:00
135.0,0,45.0,225.0,629.1945,2023-10-11 21:00:00
138.0,0,45.0,225.0,860.55884,2023-10-12 00:00:00
141.0,0,45.0,225.0,731.3183,2023-10-12 03:00:00
144.0,0,45.0,225.0,833.3358,2023-10-12 06:00:00
147.0,0,45.0,225.0,765.575,2023-10-12 09:00:00
150.0,0,45.0,225.0,467.9407,2023-10-12 12:00:00
153.0,0,45.0,225.0,371.9484,2023-10-12 15:00:00
156.0,0,45.0,225.0,249.20163,2023-10-12 18:00:00
159.0,0,45.0,225.0,167.74231,2023-10-12 21:00:00
162.0,0,45.0,225.0,161.77893,2023-10-13 00:00:00
165.0,0,45.0,225.0,136.08247,2023-10-13 03:00:00
168.0,0,45.0,225.0,154.29892,2023-10-13 06:00:00
171.0,0,45.0,225.0,207.66862,2023-10-13 09:00:00
174.0,0,45.0,225.0,233.39235,2023-10-13 12:00:00
177.0,0,45.0,225.0,246.49295,2023-10-13 15:00:00
180.0,0,45.0,225.0,209.45233,2023-10-13 18:00:00
183.0,0,45.0,225.0,328.00244,2023-10-13 21:00:00
186.0,0,45.0,225.0,382.3589,2023-10-14 00:00:00
189.0,0,45.0,225.0,193.82492,2023-10-14 03:00:00
192.0,0,45.0,225.0,215.04689,2023-10-14 06:00:00
195.0,0,45.0,225.0,205.27739,2023-10-14 09:00:00
198.0,0,45.0,225.0,185.28798,2023-10-14 12:00:00
201.0,0,45.0,225.0,158.68483,2023-10-14 15:00:00
204.0,0,45.0,225.0,177.5805,2023-10-14 18:00:00
207.0,0,45.0,225.0,202.75874,2023-10-14 21:00:00
210.0,0,45.0,225.0,248.6407,2023-10-15 00:00:00
213.0,0,45.0,225.0,380.3684,2023-10-15 03:00:00
216.0,0,45.0,225.0,474.08188,2023-10-15 06:00:00
219.0,0,45.0,225.0,192.51237,2023-10-15 09:00:00
222.0,0,45.0,225.0,278.18137,2023-10-15 12:00:00
225.0,0,45.0,225.0,224.30856,2023-10-15 15:00:00
228.0,0,45.0,225.0,235.53006,2023-10-15 18:00:00
231.0,0,45.0,225.0,221.47414,2023-10-15 21:00:00
234.0,0,45.0,225.0,205.59323,2023-10-16 00:00:00
237.0,0,45.0,225.0,190.39784,2023-10-16 03:00:00
240.0,0,45.0,225.0,187.32532,2023-10-16 06:00:00
246.0,0,45.0,225.0,184.0672,2023-10-16 09:00:00
252.0,0,45.0,225.0,219.39969,2023-10-16 12:00:00
258.0,0,45.0,225.0,657.11255,2023-10-16 15:00:00
264.0,0,45.0,225.0,1022.0494,2023-10-16 18:00:00
270.0,0,45.0,225.0,487.7947,2023-10-16 21:00:00
276.0,0,45.0,225.0,468.64853,2023-10-17 00:00:00
282.0,0,45.0,225.0,402.99106,2023-10-17 03:00:00
288.0,0,45.0,225.0,387.70285,2023-10-17 06:00:00
294.0,0,45.0,225.0,488.75766,2023-10-17 09:00:00
300.0,0,45.0,225.0,317.8598,2023-10-17 12:00:00
306.0,0,45.0,225.0,334.42148,2023-10-17 15:00:00
312.0,0,45.0,225.0,444.5673,2023-10-17 18:00:00
318.0,0,45.0,225.0,695.076,2023-10-17 21:00:00
324.0,0,45.0,225.0,509.96585,2023-10-18 00:00:00
330.0,0,45.0,225.0,391.7308,2023-10-18 03:00:00
336.0,0,45.0,225.0,337.54504,2023-10-18 06:00:00
342.0,0,45.0,225.0,338.88434,2023-10-18 09:00:00
348.0,0,45.0,225.0,598.71936,2023-10-18 12:00:00
354.0,0,45.0,225.0,416.8356,2023-10-18 15:00:00
360.0,0,45.0,225.0,689.7127,2023-10-18 18:00:00
366.0,0,45.0,225.0,536.9762,2023-10-18 21:00:00
372.0,0,45.0,225.0,417.80948,2023-10-19 00:00:00
378.0,0,45.0,225.0,339.60425,2023-10-19 03:00:00
384.0,0,45.0,225.0,327.47067,2023-10-19 06:00:00
